event	lumi	run	ele pt	tau pt	met	taudm	tauGM
13690187	6040	1	30.7379	49.0244	56.1894	0	5
13693581	6041	1	40.5488	36.6201	45.4851	1	5
6792536	2997	1	43.4855	49.8259	47.6717	0	5
5832472	2573	1	27.3099	54.0505	20.3663	10	5
5834238	2574	1	30.5158	36.933	29.1437	10	5
19943934	8799	1	33.506	32.9034	39.882	10	5
22340162	9856	1	36.1276	30.9377	41.9478	1	5
20050080	8845	1	28.3992	36.6391	34.5106	1	5
22156716	9775	1	57.5629	69.1512	51.7379	1	5
22157306	9775	1	37.2877	32.4109	45.8739	1	5
22158950	9776	1	35.6183	33.0366	32.4773	0	5
22091167	9746	1	36.4492	38.682	9.51062	1	5
24473453	10797	1	36.889	46.8158	19.0111	10	5
16786036	7405	1	27.6454	46.0694	21.4586	1	5
5674609	2504	1	31.6749	42.0831	36.3351	10	5
5674700	2504	1	29.0153	51.6809	39.4771	1	5
20202950	8913	1	51.8804	70.5776	62.0228	10	5
612357	271	1	30.9905	34.8781	34.2513	1	5
616219	272	1	25.1289	41.0209	28.5163	10	5
32030654	14130	1	30.5729	37.6363	10.8136	10	5
32030877	14131	1	38.1324	30.7458	9.23631	0	1
32031053	14131	1	35.7798	35.1333	43.0217	10	5
