event	lumi	run	ele pt	tau pt	met	taudm	tauGM
20654427	9112	1	48.7636	46.2559	14.41	0	5
20658859	9114	1	28.2849	35.5449	14.828	1	5
23754918	10480	1	46.7312	43.3626	41.6837	0	5
63609471	28061	1	27.92	39.0989	28.9914	1	5
63614616	28063	1	45.7698	37.6912	18.023	10	5
63619552	28066	1	65.2635	30.8525	80.8432	10	5
21929578	9675	1	33.1628	30.6057	3.72765	1	5
20700952	9132	1	25.5977	40.2288	25.1854	10	5
1097951	485	1	32.3494	44.2929	42.5789	10	5
81603692	35999	1	37.9239	34.7587	34.1164	10	5
81614781	36004	1	59.4301	35.0757	15.7353	0	1
63632693	28071	1	30.0458	61.4789	25.2347	1	5
63633039	28072	1	34.9954	32.6589	31.8475	1	5
63635471	28073	1	33.4298	38.3239	15.2376	1	5
6095057	2689	1	26.4349	43.2155	32.1018	1	5
