event	lumi	run	ele pt	tau pt	met	taudm	tauGM
110436925	48719	1	30.0349	54.6943	89.5385	10	5
11767197	5191	1	33.0389	53.9606	44.49	10	6
12076835	5328	1	28.8827	33.5405	6.94414	10	5
6011388	2652	1	27.5199	44.0178	55.2895	1	5
9589280	4231	1	35.0731	38.4926	30.3709	1	5
9589911	4231	1	33.7999	36.8908	42.6733	0	5
6579015	2903	1	34.9353	31.7338	19.7118	1	5
6650529	2934	1	37.8382	37.666	6.56972	1	1
6651564	2935	1	31.935	49.797	16.0617	1	5
6655669	2937	1	28.5893	31.1637	43.3325	0	5
15996765	7057	1	31.8679	61.169	11.3548	10	5
16004208	7061	1	33.1833	37.8091	39.619	1	5
16005892	7061	1	48.4562	40.9254	37.2925	10	5
16007598	7062	1	30.6338	41.3199	37.7386	11	5
16061980	7086	1	31.4305	31.1301	55.5372	0	5
6934823	3060	1	43.6331	35.3399	18.9002	1	5
7731461	3411	1	25.376	37.2019	11.1823	1	5
15900651	7015	1	28.0067	43.4084	37.0484	11	5
15902788	7016	1	41.999	44.6009	28.7857	10	5
7766942	3427	1	30.8833	31.2801	7.81215	0	5
7772527	3429	1	45.5668	53.6479	26.852	0	5
8046092	3550	1	29.1887	34.0758	10.8721	10	5
12207903	5386	1	35.1793	30.2585	23.7053	10	5
12212744	5388	1	37.5615	37.0946	46.7324	10	5
34467807	15206	1	25.7999	41.7597	35.3831	1	5
34480458	15211	1	29.3628	37.7183	48.0458	10	5
34816506	15359	1	32.1227	37.8712	20.0425	0	5
59417463	26212	1	33.9398	33.7902	13.2005	1	5
34848451	15374	1	26.3451	41.2637	120.689	0	5
34852292	15375	1	29.0462	34.8337	60.5345	10	5
35183738	15521	1	27.2091	45.6055	24.3813	10	5
20508323	9048	1	31.2546	51.3344	28.0492	0	5
20508986	9048	1	36.5518	34.3568	67.5063	1	6
60988713	26905	1	69.6866	44.006	5.35683	0	5
60989236	26905	1	26.4422	37.0215	37.3071	1	5
47895991	21129	1	31.6508	35.9179	10.9844	0	5
47966902	21161	1	36.8918	53.742	72.4644	11	5
48021000	21184	1	44.6109	31.4735	33.1082	10	5
48029814	21188	1	25.2361	55.169	17.6793	1	5
48093562	21216	1	31.6633	64.7577	13.4295	11	5
49921478	22023	1	28.2381	34.5869	11.1199	10	5
48085123	21213	1	30.4566	34.4202	17.6617	1	5
48085929	21213	1	43.7997	32.2218	22.1962	10	5
48085943	21213	1	29.3829	30.6303	23.0242	1	5
48086754	21213	1	28.8732	35.9828	33.2429	1	5
48717236	21492	1	38.18	37.2985	3.96573	1	5
70091399	30921	1	25.7404	36.6634	37.2943	1	5
70099100	30924	1	45.3574	33.1967	35.4711	1	1
70099372	30924	1	33.4414	32.5708	13.6085	1	5
70102422	30925	1	35.6401	30.0504	22.4771	10	5
70110717	30929	1	32.7117	36.3025	27.4761	0	5
70117401	30932	1	37.224	46.4397	59.1352	1	5
70117406	30932	1	40.8418	49.6551	14.4936	1	6
70118284	30932	1	40.1241	36.45	25.3633	1	5
70121326	30934	1	28.0483	45.8088	45.6086	10	5
91871467	40529	1	26.6265	42.7909	20.3247	10	5
